2026-08-01 02:25:17 | 18_iPhone (9) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:25:22 | 6_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:25:22 | 14_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:25:22 | 53_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:25:22 | 29_iPhone (3) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:25:22 | 22_iPhone (69) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:25:23 | 5_iPhone (6) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:31:18 | 38_iPhone_20260731_134743 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:31:23 | 26_iPhone (49) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:31:25 | 1_iPhone_20260731_133342 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:31:25 | 42_iPhone (4) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:31:27 | 17_iPhone (8) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:31:28 | 41_iPhone_20260731_134743 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:31:29 | 50_iPhone (122) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:34:11 | 15_iPhone (2) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:34:15 | 46_iPhone (9) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:34:15 | 19_iPhone (10) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:34:16 | 4_iPhone (7) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 02:34:16 | 57_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:39:51 | 48_iPhone (109) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:40:02 | 23_iPhone (82) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:40:07 | 24_iPhone (98) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:40:07 | 10_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:40:09 | 2_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:40:09 | 7_iPhone (2) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:40:10 | 20_iPhone (7) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:40:12 | 28_iPhone (2) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:40:12 | 9_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:40:12 | 5_iPhone_20260731_133347 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:40:12 | 11_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:40:12 | 25_iPhone (102) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:40:12 | 13_iPhone_20260731_133623 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:40:13 | 30_iPhone (6) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:45:03 | 52_iPhone (80) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:45:06 | 33_iPhone (10) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:45:07 | 21_iPhone (106) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:45:07 | 39_iPhone (11) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:45:09 | 25_iPhone_20260730_134440 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
